Year	NF_Shoshone_R_at_Wapiti/06279940:WY:USGS/A	Blackwater/350:WY:SNTL/W;05-01;71825	Blackwater/350:WY:SNTL/P;10-01/05-01;71827	Evening_Star/472:WY:SNTL/W;05-01;71823	Evening_Star/472:WY:SNTL/P;10-01/05-01;71821	Parker_Peak/683:WY:SNTL/P;10-01/05-01;71831	Parker_Peak/683:WY:SNTL/W;05-01;71829	Sylvan_Lake/806:WY:SNTL/W;05-01;71833	Sylvan_Lake/806:WY:SNTL/P;10-01/05-01;71835	Sylvan_Road/807:WY:SNTL/W;05-01;71837	Sylvan_Road/807:WY:SNTL/P;10-01/05-01;71839	
1991	532195.04	28.3	23.5	27.7	31.5	19.4	23.4	24.4	26.0	13.7	18.6	
1992	355053.22	20.1	17.8	20.7	25.5	17.9	18.7	16.8	20.9	0.8	15.2	
1993	426414.55	22.2	19.3	24.4	27.0	20.2	23.1	25.1	25.8	9.2	16.5	
1994	279475.04	18.3	17.0	18.2	25.0	17.4	20.0	15.4	19.6	4.7	14.4	
1995	499999.33	32.9	27.9	32.9	35.3	23.4	28.3	30.6	31.5	12.4	22.5	
1996	689464.47	39.0	33.9	44.3	45.5	24.9	31.8	27.7	34.5	17.9	28.9	
1997	741131.9	42.8	33.2	45.2	45.1	26.7	36.8	32.2	36.5	16.5	30.0	
1998	426291.57	21.9	20.0	22.6	25.7	16.8	19.1	16.3	22.7	5.4	14.7	
1999	538928.93	35.2	28.6	37.2	39.3	24.9	27.6	25.4	31.2	10.9	20.5	
2000	356517.03	19.2	19.2	22.4	27.2	19.6	17.9	16.3	23.8	4.2	16.7	
2001	256920.99	17.4	17.0	15.9	22.3	16.2	15.9	14.8	21.4	5.3	15.2	
2002	392602.31	25.5	23.2	27.3	28.4	19.9	23.5	20.7	25.9	8.1	16.6	
2003	441905.46	28.7	25.0	31.7	35.4	23.0	27.9	21.1	26.6	9.1	19.6	
2004	260156.03	19.5	19.4	19.1	26.4	15.7	15.6	7.5	20.5	0.0	14.3	
2005	341754.05	16.9	16.4	18.0	22.1	14.8	17.0	11.8	18.9	3.9	12.2	
2006	399229.09	24.4	22.9	25.3	30.8	19.8	21.4	17.5	26.4	1.7	18.0	
2007	279824.13	21.9	22.3	21.2	29.9	20.9	18.9	14.2	24.4	0.0	17.7	
2008	648198.35	29.3	27.1	33.6	38.1	27.1	31.7	22.2	29.8	10.5	23.4	
2009	595406.28	29.9	27.5	32.1	35.8	22.5	32.0	21.9	27.7	7.3	22.4	
2010	422215.54	19.6	22.5	18.7	23.6	15.1	19.1	12.5	20.4	0.8	14.6	
2011	742962.65	36.7	34.6	41.5	44.3	34.1	38.3	33.2	36.7	17.9	27.0	
2012	388361.66	25.3	27.5	30.0	36.8	26.9	24.0	14.7	29.6	0.0	21.4	
2013	414027.76	25.9	25.4	26.2	30.8	23.3	25.6	17.8	25.3	0.9	16.8	
2014	647900.83	36.0	33.3	42.5	44.9	33.7	37.7	25.4	33.4	7.9	24.6	
2015	364355.7	19.7	21.2	19.9	27.5	21.8	16.5	5.9	20.4	0.0	16.1	
2016	389656.86	24.2	27.0	24.9	30.7	22.8	19.8	13.1	25.2	0.0	16.2	
2017	696942.15	43.0	46.2	41.7	48.8	39.8	42.6	27.1	41.9	0.0	32.5	
2018	831947.1	37.8	36.1	44.1	48.6	35.3	38.4	24.9	31.8	6.5	25.0	
2019	560372.23	28.5	29.1	28.8	33.7	27.7	27.6	21.0	30.7	2.0	18.2	
2020	576007.93	26.0	26.7	27.7	33.4	26.5	29.9	19.6	27.1	2.3	18.3	
